r,Type,Coordinates,Latitude,Longitude,Description,Stars1_5,Notes
Aalborg,cultural monument,"57.0482555,9.913457",57.0482555,9.913457,Our Lady Streetart in Aalborg,3,Adela's example
Three mounds,cultural monument,"56.2280642,10.7174371",56.2280642,10.7174371,Cool mounds with sea view,4,
Moesgaard Museum,education,"56.0887158,10.221313",56.0887158,10.221313,Nice museum,5,
Tivoli,fun,"55.6736871,12.5659584",55.6736871,12.5659584,Amusement Park,5,
Skovby Kirke,cultural moment,"56.1569652,9.9446105",56.1569652,9.9446105,Church in Skovby,,
Sdr. Felding,village,"55.9381974,8.7300809",55.9381974,8.7300809,Village in Midtjylland,1,
Den Gamle By,education,"56.1587826,10.1899265",56.1587826,10.1899265,Købstadsmuseum,4,
Studenterbaren Aarhus,fun,"56.1720435,10.2002921",56.1720435,10.2002921,Pub,5,
Caspers Home,coxyness,"56.1323273,10.1465997",56.1323273,10.1465997,The best place on earth,5,
Holstebro Gymnasie & HF,prison,"56.370411,8.6048592",56.370411,8.6048592,Holstebro gymansie,1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
,,,#VALUE!,,,,
